N.°,Nombre,Tipos,IMG
0001,Bulbasaur,"Grass, Poison",pokemon_images/0001_Bulbasaur.png
0002,Ivysaur,"Grass, Poison",pokemon_images/0002_Ivysaur.png
0003,Venusaur,"Grass, Poison",pokemon_images/0003_Venusaur.png
0004,Charmander,Fire,pokemon_images/0004_Charmander.png
0005,Charmeleon,Fire,pokemon_images/0005_Charmeleon.png
0006,Charizard,"Fire, Flying",pokemon_images/0006_Charizard.png
0007,Squirtle,Water,pokemon_images/0007_Squirtle.png
0008,Wartortle,Water,pokemon_images/0008_Wartortle.png
0009,Blastoise,Water,pokemon_images/0009_Blastoise.png
0010,Caterpie,Bug,pokemon_images/0010_Caterpie.png
0011,Metapod,Bug,pokemon_images/0011_Metapod.png
0012,Butterfree,"Bug, Flying",pokemon_images/0012_Butterfree.png
0013,Weedle,"Bug, Poison",pokemon_images/0013_Weedle.png
0014,Kakuna,"Bug, Poison",pokemon_images/0014_Kakuna.png
0015,Beedrill,"Bug, Poison",pokemon_images/0015_Beedrill.png
0016,Pidgey,"Normal, Flying",pokemon_images/0016_Pidgey.png
0017,Pidgeotto,"Normal, Flying",pokemon_images/0017_Pidgeotto.png
0018,Pidgeot,"Normal, Flying",pokemon_images/0018_Pidgeot.png
0019,Rattata,Normal,pokemon_images/0019_Rattata.png
0020,Raticate,Normal,pokemon_images/0020_Raticate.png
0021,Spearow,"Normal, Flying",pokemon_images/0021_Spearow.png
0022,Fearow,"Normal, Flying",pokemon_images/0022_Fearow.png
0023,Ekans,Poison,pokemon_images/0023_Ekans.png
0024,Arbok,Poison,pokemon_images/0024_Arbok.png
0025,Pikachu,Electric,pokemon_images/0025_Pikachu.png
0026,Raichu,Electric,pokemon_images/0026_Raichu.png
0027,Sandshrew,Ground,pokemon_images/0027_Sandshrew.png
0028,Sandslash,Ground,pokemon_images/0028_Sandslash.png
0029,Nidoran-f,Poison,pokemon_images/0029_Nidoran-f.png
0030,Nidorina,Poison,pokemon_images/0030_Nidorina.png
0031,Nidoqueen,"Poison, Ground",pokemon_images/0031_Nidoqueen.png
0032,Nidoran-m,Poison,pokemon_images/0032_Nidoran-m.png
0033,Nidorino,Poison,pokemon_images/0033_Nidorino.png
0034,Nidoking,"Poison, Ground",pokemon_images/0034_Nidoking.png
0035,Clefairy,Fairy,pokemon_images/0035_Clefairy.png
0036,Clefable,Fairy,pokemon_images/0036_Clefable.png
0037,Vulpix,Fire,pokemon_images/0037_Vulpix.png
0038,Ninetales,Fire,pokemon_images/0038_Ninetales.png
0039,Jigglypuff,"Normal, Fairy",pokemon_images/0039_Jigglypuff.png
0040,Wigglytuff,"Normal, Fairy",pokemon_images/0040_Wigglytuff.png
0041,Zubat,"Poison, Flying",pokemon_images/0041_Zubat.png
0042,Golbat,"Poison, Flying",pokemon_images/0042_Golbat.png
0043,Oddish,"Grass, Poison",pokemon_images/0043_Oddish.png
0044,Gloom,"Grass, Poison",pokemon_images/0044_Gloom.png
0045,Vileplume,"Grass, Poison",pokemon_images/0045_Vileplume.png
0046,Paras,"Bug, Grass",pokemon_images/0046_Paras.png
0047,Parasect,"Bug, Grass",pokemon_images/0047_Parasect.png
0048,Venonat,"Bug, Poison",pokemon_images/0048_Venonat.png
0049,Venomoth,"Bug, Poison",pokemon_images/0049_Venomoth.png
0050,Diglett,Ground,pokemon_images/0050_Diglett.png
0051,Dugtrio,Ground,pokemon_images/0051_Dugtrio.png
0052,Meowth,Normal,pokemon_images/0052_Meowth.png
0053,Persian,Normal,pokemon_images/0053_Persian.png
0054,Psyduck,Water,pokemon_images/0054_Psyduck.png
